"ID","INVENTARIO_ID","FECHA_VENC","LOTE","CANTIDAD",,,,,,
76,10001164,2023-03-02,20230302,0,,,,,,
77,10001167,2021-05-01,20210501,0,,,,,,
78,10001168,2021-05-02,20210502,0,,,,,,
79,10001169,2021-05-03,20210503,0,,,,,,
80,10001172,2022-07-02,20220702,0,,,,,,
81,10001173,2022-07-03,20220703,0,,,,,,
82,10001174,2022-07-04,20220704,0,,,,,,
83,10001175,2022-07-05,20220705,0,,,,,,
84,10001176,2022-07-06,20220706,0,,,,,,
85,10001178,2022-07-08,20220708,162,,,,,,
86,10001179,2022-07-09,20220709,436,,,,,,
87,10001180,2022-07-10,20220710,3080,,,,,,
88,10001181,2022-07-11,20220711,814,,,,,,
89,10001182,2022-07-12,20220712,0,,,,,,
90,10001183,2022-07-13,20220713,0,,,,,,
91,10001184,2022-07-14,20220714,0,,,,,,
92,10001185,2022-07-15,20220715,0,,,,,,
93,10001186,2022-07-16,20220716,66,,,,,,
94,10001187,2022-07-17,20220717,1099,,,,,,
95,10001188,2022-07-18,20220718,0,,,,,,
96,10001189,2022-07-19,20220719,700,,,,,,
97,100021,2022-07-20,20220720,100,,,,,,
98,100022,2022-07-21,20220721,93,,,,,,
99,100023,2022-07-22,20220722,100,,,,,,
100,100024,2022-07-23,20220723,100,,,,,,
101,100025,2022-07-24,20220724,100,,,,,,
102,100026,2022-07-25,20220725,0,,,,,,
103,100027,2022-07-26,20220726,0,,,,,,
104,100028,2022-01-01,20220101,242,,,,,,
105,100029,2020-05-01,20200501,80,,,,,,
106,1000210,2020-03-01,20200301,100,,,,,,
107,1000211,2021-01-01,20210101,50,,,,,,
108,1000212,2020-03-01,20200301,100,,,,,,
109,1000213,2020-03-02,20200302,95,,,,,,
110,1000214,2020-06-01,20200601,100,,,,,,
111,1000216,2021-02-01,20210201,2,,,,,,
112,1000218,2021-02-03,20210203,0,,,,,,
113,1000219,2021-02-04,20210204,100,,,,,,
114,1000222,2021-02-07,20210207,13,,,,,,
115,1000223,2021-02-08,20210208,146,,,,,,
116,1000224,2021-02-09,20210209,91,,,,,,
117,1000225,2021-02-10,20210210,5,,,,,,
118,100014,2022-05-01,"A53                 ",0,,,,,,
119,100016,2022-03-01,"A90996              ",4271,,,,,,
120,100017,2022-03-01,"A9100E              ",0,,,,,,
121,1000215,2021-01-01,"AD701               ",100,,,,,,
122,1000217,2021-02-02,"BMU1801             ",4,,,,,,
123,1000221,2021-02-06,"BV02                ",2400,,,,,,
124,1000140,2021-01-01,"CRT1805             ",0,,,,,,
125,10001102,2021-08-01,"D1700527            ",0,,,,,,
126,100013,2020-08-01,"D170970             ",2,,,,,,
127,1000194,2019-11-01,"D171154             ",0,,,,,,
128,1000188,2021-07-01,"D171287             ",2272,,,,,,
129,1000190,2020-10-01,"D1801               ",0,,,,,,
130,1000164,2021-11-01,"D180231             ",0,,,,,,
131,1000173,2021-03-02,"D180403             ",7,,,,,,
132,1000197,2022-03-01,"D180475             ",0,,,,,,
